21/12/2014 14:49:55 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
21/12/2014 14:49:55 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
21/12/2014 14:49:55 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
21/12/2014 14:49:55 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
21/12/2014 14:49:55 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
21/12/2014 14:49:55 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
21/12/2014 14:49:55 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
21/12/2014 14:49:55 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
21/12/2014 14:49:55 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
21/12/2014 14:52:34 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
21/12/2014 14:52:34 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
21/12/2014 14:52:34 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
21/12/2014 14:52:34 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
21/12/2014 14:52:34 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
21/12/2014 14:52:34 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
21/12/2014 14:52:34 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
21/12/2014 14:52:34 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
21/12/2014 14:52:34 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
21/12/2014 14:52:36 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
21/12/2014 14:52:36 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
21/12/2014 14:52:36 Construction Attaque : attaque3: ID=3; Degats : 5% ; cout : 0MP
21/12/2014 14:52:36 Construction Attaque : attaque1: ID=1; Degats : 10% ; cout : 1MP
21/12/2014 14:52:36 Construction Attaque : attaque2: ID=2; Degats : 50% ; cout : 6MP
